Ejecución,Tmax,Tiempo (s),Iteración óptima,Eficiencia,sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z
1,1.8140217904367726,0.05929422378540039,50,30.593566702249785,0.18273683965384885,0.9963316080204706,0.4540826337172325,0.2264972170551174,0.07886871531473295,-0.02471819343645998,0.32101936980317947,0.27886871531473295,-0.02471819343645998,0.32101936980317947
2,1.9482741935864272,0.7304377555847168,93,2.667269289806672,0.3142468857754601,0.8116288355622114,0.6204947640198638,0.02019196969696664,0.1935182706688016,-0.23530343040201585,0.5307543855247788,0.39351827066880163,-0.23530343040201585,0.5307543855247788
3,1.2693917911055512,0.627108097076416,134,2.024199331859161,0.5361487608115711,0.8870735634442484,1.0,0.41907305488868263,0.32645341602695593,-0.47060057509165326,0.3666405573292568,0.526453416026956,-0.47060057509165326,0.3666405573292568
4,1.2773470611147903,0.06583404541015625,187,19.402530304141592,0.3241452455290746,0.7904929506276461,0.3975811039215475,0.5461600904494343,0.400204852936602,-0.0285044615833262,0.10126084925852619,0.600204852936602,-0.0285044615833262,0.10126084925852619
5,2.2449552849255237,0.3516395092010498,81,6.384252128056438,0.2978445033132362,0.609802528256796,0.30407138516429927,0.46753238495013294,0.32792624436315965,0.32480635279055714,0.48368108338861815,0.5279262443631596,0.32480635279055714,0.48368108338861815
6,1.5488647608506771,2.0054776668548584,144,0.7723171324464181,0.27147852256130556,0.9801888581142038,0.6665913281899293,0.0,0.21940601060655374,0.24437490951437968,0.26258007429362273,0.41940601060655375,0.24437490951437968,0.26258007429362273
7,0.9612467156207065,1.9061803817749023,114,0.5042789889200625,0.4140607246258276,1.0,0.8397307608721347,0.4981014952847127,0.35173961252186087,0.11645043239222264,0.1452331415896373,0.5517396125218609,0.11645043239222264,0.1452331415896373
8,1.3967901650337722,0.3379709720611572,171,4.132870218158906,0.19435321014536236,0.943833040096163,0.7258145502103523,0.3041112819759794,0.09211128197597938,0.04393743479745438,0.251175132727969,0.2921112819759794,0.04393743479745438,0.251175132727969
9,1.2542032005418402,0.3325977325439453,82,3.770931301752412,0.4231923127390612,0.925675687584428,0.557909819067914,0.503117670249616,0.32974242414318994,0.04219740408992756,0.4135691633233025,0.52974242414319,0.04219740408992756,0.4135691633233025
10,2.1488972482270503,0.05956315994262695,265,36.077623321142354,0.2970757199726413,0.7217842792737179,0.5155884205220089,0.2545104064871755,0.12042777504147342,-0.20348645266828524,0.592177761964183,0.32042777504147346,-0.20348645266828524,0.592177761964183
11,1.3747734598499872,0.05971860885620117,109,23.02085541142392,0.3331759377173592,1.0,0.8081820159973182,0.14440212659433294,0.1579551559122182,-0.33683200744429564,0.26675836666376795,0.3579551559122182,-0.33683200744429564,0.26675836666376795
12,1.3060213406936594,3.231609582901001,233,0.4041395803515504,0.1609956872617218,0.9407036829477343,0.7089235341298219,0.3450936568024438,0.15153355865469187,-0.025829261169250994,0.14305779570937716,0.3515335586546919,-0.025829261169250994,0.14305779570937716
13,1.5261002238955652,0.6209542751312256,214,2.457669243960123,0.24511379161215077,0.9291497263031904,0.48849175473179385,0.38737147478831824,0.18197530271322696,-0.15593050072167014,0.28722412278852794,0.381975302713227,-0.15593050072167014,0.28722412278852794
14,1.7553428931740842,0.9480996131896973,124,1.8514329810435988,0.3370738568765304,0.5642861589675642,0.6295684126561292,0.32292280474335666,0.39304403336449234,0.1792801530128596,0.4042055967439515,0.5930440333644924,0.1792801530128596,0.4042055967439515
15,1.0994389535595146,1.8681612014770508,52,0.5885139637255338,0.45801466542754743,0.6268488946904144,0.896034961518029,0.11784927877057907,0.4640372373454331,0.0642614852985135,0.18387587777697156,0.6640372373454331,0.0642614852985135,0.18387587777697156
16,1.4733923720775448,0.35216593742370605,193,4.183801485334576,0.3551601385113843,0.7202120527989824,0.6870359881173385,0.5193845948769834,0.3073845948769834,-0.3992630141768542,0.1411964307754061,0.5073845948769834,-0.3992630141768542,0.1411964307754061
17,2.196365048080492,0.3917508125305176,164,5.606536037265767,0.2779394870172989,0.34287696895964487,0.9743697383339621,0.3181421231794598,0.4279326761207694,0.2833163778627168,0.32976945514594835,0.6279326761207694,0.2833163778627168,0.32976945514594835
18,2.8657272987978586,1.8619747161865234,118,1.5390795986033057,0.19622631779718497,0.8821581291063074,0.1873191220397507,0.31588369063810695,0.31798158035463486,0.3161039061517925,0.3393852117084204,0.5179815803546348,0.3161039061517925,0.3393852117084204
19,2.0914933938785203,0.3531990051269531,277,5.921572154844429,0.16016474174004233,0.4283585979378639,0.8331929402454796,0.27026663260908756,0.200814133378919,-0.18695194023761164,0.19214615776740152,0.400814133378919,-0.18695194023761164,0.19214615776740152
20,1.3719871218299524,0.05759263038635254,179,23.8222687976944,0.3780742607920399,0.570594506916875,0.9171295019216527,0.10688808392666194,0.40278258702517344,-0.21646596783079508,0.24461856573810714,0.6027825870251735,-0.21646596783079508,0.24461856573810714
21,1.56131684354443,0.3512532711029053,204,4.444988764494715,0.3338832688288117,0.733223806845821,0.6924863020592209,0.30598566977842623,0.27745147771067047,-0.002134286268099972,0.44124518819551384,0.4774514777106705,-0.002134286268099972,0.44124518819551384
22,2.551607120212432,0.0873115062713623,217,29.22417936854842,0.2225441171360367,1.0,0.11209901111069524,0.4915147000974207,0.4457885999152528,0.26575144740566503,0.2303036469529106,0.6457885999152528,0.26575144740566503,0.2303036469529106
23,1.5749252308542734,0.3748159408569336,148,4.2018629924158395,0.2703699227189716,0.4023055745155366,0.6205992177679331,0.08068918191379953,0.4158567725145157,0.01753153768131066,0.08616499347924711,0.6158567725145156,0.01753153768131066,0.08616499347924711
24,1.135733713438313,0.6498274803161621,224,1.747746514022063,0.4684922975659705,0.6944760530170695,0.7619900500302869,0.6536113528881066,0.487866852066884,-0.11251392357808998,0.17959672584185005,0.687866852066884,-0.11251392357808998,0.17959672584185005
25,1.547127549767656,0.0711205005645752,120,21.753608839731275,0.33293477125305865,0.9334407359270276,0.5936161634335199,0.2593217091535918,0.22074748614047582,-0.37093527265851894,0.281065676681893,0.42074748614047586,-0.37093527265851894,0.281065676681893
26,1.0966326288790755,0.06009864807128906,256,18.24720961407067,0.36052721219554507,0.9390695125529159,0.8255278703389449,0.20922769541603367,0.3360860227540135,0.20064048030122072,0.05519411518725881,0.5360860227540135,0.20064048030122072,0.05519411518725881
27,1.861889970146822,0.950798749923706,178,1.9582377136026141,0.2292779224791423,0.6143361794228529,0.914198654614931,0.02356137693437392,0.0316093182212607,0.026405654099653786,0.4248986840715234,0.2316093182212607,0.026405654099653786,0.4248986840715234
28,1.2089055788909366,0.6955451965332031,128,1.7380690498855704,0.3218888706936843,0.9344401894417239,1.0,0.0,0.20775670667790486,-0.29004916176103585,0.1553490360642168,0.40775670667790487,-0.29004916176103585,0.1553490360642168
29,2.876313024409111,4.985020637512207,20,0.5769911969400683,0.23148404485940605,0.5300130484266021,0.47257872871664397,0.09175770312982695,0.1222467168979379,0.17240150323484282,0.6313877583382228,0.32224671689793793,0.17240150323484282,0.6313877583382228
30,1.8296010554504678,0.3751683235168457,280,4.876747157914881,0.3272697079033636,0.44270230824690426,0.9808079156702287,0.43320618438622993,0.4324017547781005,-0.3548281543873607,0.2136698730001687,0.6324017547781005,-0.3548281543873607,0.2136698730001687
